customer_no,store_id,id,uuid
,927723063,4909,5437be94-7e07-4cfd-91ff-27e47aa6e358
201801-003187,930202,7432,6248a0ee-b7ec-4f93-8732-bbf86541501e
201700-002575,932276355,3926,acc2b657-9429-47b8-93d5-d37badcd9e0e
,9453,8178,387d0588-b526-47a2-9b1a-3eeb6e759d7b
201700-001993,94XIMEN,2900,450620ad-cab8-4796-8ffb-4928e7d50239
,9527,8589,e7b3c175-1e01-4341-94b2-604fb9bb93a6
,9553355,7887,096f849d-2faf-4c1f-9a11-d753603791d7
201700-002184,96949087,3157,f4c4d806-bd3e-41e5-b104-68b991f6f166
,97414694,7975,04d9b42a-483b-4a2e-bbcc-5f54ab763dfd
201700-001968,99,2880,19fcd1ea-4b11-432e-afe2-1e83666c3229
201700-002661,996239,3980,84ac7795-6be7-4b58-bf44-0c63bea7cba7
201711-001960,99chicken,5342,bf43832c-69ed-46eb-a04a-d19951feab11
201700-002026,A0024,2992,c6d520f7-911b-4a90-abaa-447976b9dd9b
,a01,7433,9210bc13-6b45-48e4-a129-8d3335b8de75
201700-002822,A0907,5752,24b5aeea-0c14-4f63-a6a4-d960c5e68640
,a0907342397,8649,0e52724a-963b-431c-8c60-0702e0e2e973
201700-000427,a0918621117,587,4c5a32f4-ec48-4c83-94fa-b480f58b0498
,a0918688565,8523,75dea041-8522-4af5-ab3c-390826b66cf0
201811-015875,a0936573105,9025,c64a0711-b7ab-419e-8681-b10df3bc6fd5
201807-013245,a0953121233,7449,2ef4690b-97fb-4b57-a333-d58ed7b90fef
